,access_id,population
0,MK491355,Armenian individual
1,MK491356,Armenian individual
2,MK491357,Armenian individual
3,MK491358,Armenian individual
4,MK491359,Armenian individual
5,MK491360,Armenian individual
6,MK491361,Armenian individual
7,MK491362,Armenian individual
8,MK491363,Armenian individual
9,MK491364,Armenian individual
10,MK491365,Armenian individual
11,MK491366,Armenian individual
12,MK491367,Armenian individual
13,MK491368,Armenian individual
14,MK491369,Armenian individual
15,MK491370,Armenian individual
16,MK491371,Armenian individual
17,MK491372,Armenian individual
18,MK491373,Armenian individual
19,MK491374,Armenian individual
20,MK491375,Armenian individual
21,MK491376,Armenian individual
22,MK491377,Armenian individual
23,MK491378,Armenian individual
24,MK491379,Armenian individual
25,MK491380,Armenian individual
26,MK491381,Armenian individual
27,MK491382,Armenian individual
28,MK491383,Armenian individual
29,MK491384,Armenian individual
30,MK491385,Armenian individual
31,MK491386,Armenian individual
32,MK491387,Armenian individual
33,MK491388,Armenian individual
34,MK491389,Armenian individual
35,MK491390,Armenian individual
36,MK491391,Armenian individual
37,MK491392,Armenian individual
38,MK491393,Armenian individual
39,MK491394,Armenian individual
40,MK491395,Armenian individual
41,MK491396,Armenian individual
42,MK491397,Armenian individual
43,MK491398,Armenian individual
44,MK491399,Armenian individual
45,MK491400,Armenian individual
46,MK491401,Armenian individual
47,MK491402,Armenian individual
48,MK491403,Armenian individual
49,MK491404,Armenian individual
50,MK491405,Armenian individual
51,MK491406,Armenian individual
52,MK491407,Armenian individual
53,MK491408,Armenian individual
54,MK491409,Armenian individual
55,MK491410,Armenian individual
56,MK491411,Armenian individual
57,MK491412,Armenian individual
58,MK491413,Armenian individual
59,MK491414,Armenian individual
60,MK491415,Armenian individual
61,MK491416,Armenian individual
62,MK491417,Armenian individual
63,MK491418,Armenian individual
64,MK491419,Armenian individual
65,MK491420,Armenian individual
66,MK491421,Armenian individual
67,MK491422,Armenian individual
68,MK491423,Armenian individual
69,MK491424,Armenian individual
70,MK491425,Armenian individual
71,MK491426,Armenian individual
72,MK491427,Armenian individual
73,MK491428,Armenian individual
74,MK491429,Armenian individual
75,MK491430,Armenian individual
76,MK491431,Armenian individual
77,MK491432,Armenian individual
78,MK491433,Armenian individual
79,MK491434,Armenian individual
80,MK491435,Armenian individual
81,MK491436,Armenian individual
82,MK491437,Armenian individual
83,MK491438,Armenian individual
84,MK491439,Armenian individual
85,MK491440,Armenian individual
86,MK491441,Armenian individual
87,MK491442,Armenian individual
88,MK491443,Armenian individual
89,MK491444,Armenian individual
90,MK491445,Armenian individual
91,MK491446,Armenian individual
92,MK491447,Armenian individual
93,MK491448,Armenian individual
94,MK491449,Armenian individual
95,MK491450,Armenian individual
96,MK491451,Armenian individual
97,MK491452,Armenian individual
98,MK491453,Armenian individual
99,MK491454,Armenian individual
100,MK491455,Armenian individual
101,MK491456,Armenian individual
102,MK491457,Armenian individual
103,MK491458,Armenian individual
104,MK491459,Armenian individual
105,MK491460,Armenian individual
106,MK491461,Armenian individual
107,MK491462,Armenian individual
108,MK491463,Armenian individual
109,MK491464,Armenian individual
110,MK491465,Armenian individual
111,MK491466,Armenian individual
112,MK491467,Armenian individual
113,MK491468,Armenian individual
114,MK491469,Armenian individual
115,MK491470,Armenian individual
116,MK491471,Armenian individual
117,MK491472,Armenian individual
118,MK491473,Armenian individual
119,MK491474,Armenian individual
120,MK491475,Armenian individual
121,MK491476,Armenian individual
122,MK491477,Armenian individual
123,MK491478,Armenian individual
124,MK491479,Armenian individual
125,MK491480,Armenian individual
126,MK491481,Armenian individual
127,MK491482,Armenian individual
128,MK491483,Armenian individual
129,MK491484,Armenian individual
130,MK491485,Armenian individual
131,MK491486,Armenian individual
132,MK491487,Armenian individual
133,MK491488,Armenian individual
134,MK491489,Armenian individual
135,MK491490,Armenian individual
136,MK491491,Armenian individual
137,MK491492,Armenian individual
138,MK491493,Armenian individual
139,MK491494,Armenian individual
140,MK491495,Armenian individual
0,HM852756,Armenian11
1,HM852757,Armenian12
2,HM852758,Armenian13
3,HM852759,Armenian14
4,HM852760,Armenian15
5,HM852761,Armenian16
6,HM852762,Armenian17
7,HM852763,Armenian19
8,HM852764,Armenian20
9,HM852765,Armenian21
10,HM852766,Armenian23
11,HM852767,Armenian25
12,HM852768,Armenian28
13,HM852769,Armenian29
14,HM852770,Armenian2
15,HM852771,Armenian32
16,HM852772,Armenian34
17,HM852773,Armenian35
18,HM852774,Armenian36
19,HM852775,Armenian37
20,HM852776,Armenian3
21,HM852777,Armenian40
22,HM852778,Armenian41
23,HM852779,Armenian43
24,HM852780,Armenian5
25,HM852781,Armenian6
26,HM852782,Armenian7
27,HM852783,Armenian8
28,HM852784,Armenian9
29,HM852785,Armenian1
30,HM852786,Azeri10
31,HM852787,Azeri11
32,HM852788,Azeri13
33,HM852789,Azeri14
34,HM852790,Azeri15
35,HM852791,Azeri17
36,HM852792,Azeri18
37,HM852793,Azeri1
38,HM852794,Azeri2
39,HM852795,Azeri32
40,HM852796,Azeri33
41,HM852797,Azeri34
42,HM852798,Azeri35
43,HM852799,Azeri37
44,HM852800,Azeri39
45,HM852801,Azeri3
46,HM852802,Azeri41
47,HM852803,Azeri42
48,HM852804,Azeri43
49,HM852805,Azeri44
50,HM852806,Azeri46
51,HM852807,Azeri47
52,HM852808,Azeri48
53,HM852809,Azeri49
54,HM852810,Azeri4
55,HM852811,Azeri5
56,HM852812,Azeri6
57,HM852813,Azeri7
58,HM852814,Azeri8
59,HM852815,Azeri9
60,HM852816,Iranian11
61,HM852817,Iranian12
62,HM852818,Iranian17
63,HM852819,Iranian19
64,HM852820,Iranian20
65,HM852821,Iranian23
66,HM852822,Iranian24
67,HM852823,Iranian26
68,HM852824,Iranian27
69,HM852825,Iranian28
70,HM852826,Iranian29
71,HM852827,Iranian2
72,HM852828,Iranian30
73,HM852829,Iranian33
74,HM852830,Iranian34
75,HM852831,Iranian35
76,HM852832,Iranian36
77,HM852833,Iranian37
78,HM852834,Iranian38
79,HM852835,Iranian39
80,HM852836,Iranian40
81,HM852837,Iranian42
82,HM852838,Iranian43
83,HM852839,Iranian47
84,HM852840,Iranian48
85,HM852841,Iranian50
86,HM852842,Iranian54
87,HM852843,Iranian55
88,HM852844,Iranian9
89,HM852845,Iranian10
90,HM852846,Turk12
91,HM852847,Turk132
92,HM852848,Turk14
93,HM852849,Turk15
94,HM852850,Turk16
95,HM852851,Turk185
96,HM852852,Turk186
97,HM852853,Turk187
98,HM852854,Turk188
99,HM852855,Turk18
100,HM852856,Turk23
101,HM852857,Turk24
102,HM852858,Turk26
103,HM852859,Turk2
104,HM852860,Turk30
105,HM852861,Turk31
106,HM852862,Turk33
107,HM852863,Turk35
108,HM852864,Turk3
109,HM852865,Turk10
110,HM852866,Turk19
111,HM852867,Turk20
112,HM852868,Turk21
113,HM852869,Turk29
114,HM852870,Turk34
115,HM852871,Turk36
116,HM852872,Turk4
117,HM852873,Turk5
118,HM852874,Turk9
119,HM852875,Georgian100
120,HM852876,Georgian108
121,HM852877,Georgian109
122,HM852878,Georgian10
123,HM852879,Georgian20
124,HM852880,Georgian73
125,HM852881,Georgian106
126,HM852882,Georgian111
127,HM852883,Georgian11
128,HM852884,Georgian1
129,HM852885,Georgian22
130,HM852886,Georgian25
131,HM852887,Georgian29
132,HM852888,Georgian2
133,HM852889,Georgian33
134,HM852890,Georgian36
135,HM852891,Georgian37
136,HM852892,Georgian38
137,HM852893,Georgian39
138,HM852894,Georgian3
139,HM852895,Georgian45
140,HM852896,Georgian4
141,HM852897,Georgian51
142,HM852898,Georgian52
143,HM852899,Georgian65
144,HM852900,Georgian67
145,HM852901,Georgian82
146,HM852902,Georgian8
0,KC911275,Qashqai
1,KC911276,Kurd
2,KC911277,Persian
3,KC911278,Persian
4,KC911279,Qashqai
5,KC911280,Persian
6,KC911281,Azeri
7,KC911282,Persian
8,KC911283,Persian
9,KC911284,Persian
10,KC911285,Persian
11,KC911286,Persian
12,KC911287,Persian
13,KC911288,Persian
